ID,businessname,legalowner,LicenseFK
1,100 Percent Delicia Food,BRENNAN PATRICK E,1
2,100 Percent Delicias Express,STAMATOS GEORGE C,2
3,1000 Degrees Pizza,KHOSLA VIPAN,3
4,110 Grill,,4
5,111 East,,5
6,125 Nashua St. Cafe (MGH),  ,6
7,129 Lake Street Cafe,,7
8,149 Eat Street,  ,8
9,163 Vietnamese Sandwich,CHIN BILLY Y TS,9
10,20TH CENTRY BOWLING LANES,COVITZ,10
11,21 ST. AMENDMENT,,11
12,224 BOSTON,TYO KEVIN,12
13,2Twenty2,,13
14,320 Cafe,,14
15,4 Brothers Market,,15
16,49 Social,,16
17,73 Cafe,  ,17
18,75 CHESTNUT,MORRIS H BARRY,18
19,75 On Liberty Wharf,Liberty Wharf,19
20,753 South,PETRUZZIELLO LUIGI R TS,20
21,89 Broad Street/Fin Point,W-BOSTON LLC,21
22,99 RESTAURANT AND PUB,,22
23,A & B Burgers,,23
24,A & N PIZZA,MVP INVESTMENTS LLC,24
25,A C Farm Market,  ,25
26,A Goodmart,LADIES GARM WRKRS CENTER INC,26
27,A K's Take Out & Delivery,BOUKOUVALAS ATHENA TS,27
28,A.C Hotel by Marriott,,28
29,A-1 Convenience,KING ROBERT W TS,29
30,A7 Food Store,,30
31,Abbott's Frozen Custard,SA & ZE CO LLC,31
32,Abby Lane,PAULO DOMINIC,32
33,ABIGAIL'S TEA ROOM @CONGRESS BRIDGE,,33
34,Abreu Market,,34
35,Abyssinia Market,GARVIN ROGER,35
36,AC Hotel by Marriot,,36
37,AC Hotel by Marriott,,37
38,Academy Market,MARCELINO ANDUJAR,38
39,Acapulco Mexican Restaurant,,39
40,Accents,,40
41,Aceituna,,41
42,Aceituna Grill,,42
43,Achilitos Taqueria,,43
44,Across The Border,,44
45,Adams B & B,HALEY JOSEPH F,45
46,ADAMS CONVENIENCE STORE,  ,46
47,Adams Fish Mkt,ADAMS VILLAGE LLC,47
48,Addis Red Sea,VENTOURIS EMILIOS TS,48
49,AFC Sushi @ Shaw's 3588,,49
50,AFC Sushi @ Shaws 4587,BARRY,50
51,AFC Sushi @ Shaws No. 1208,SHAW'S SUPERMARKET INC. #7508/388,51
52,AFC Sushi @ Shaws No. 3696,,52
53,AFC Sushi @ Shaw's S upermarket No. 0602,SHAW'S SUPERMARKET ATT: L,53
54,AFC SUSHI @ STARMARKET 4572,BRUEGGER'S BAGEL BAKERY,54
55,AFC Sushi @ Walgreens No. 15390,  ,55
56,AFC Sushi @Liberty Mutual Ins.,,56
57,AFC SUSHI @SIMMONS COLLEGE,SIMMONS COLLEGE,57
58,AFC Sushi @Star Market No. 2576,ADVANCED FRESH CONCEPTS C ORP,58
59,AFC Sushi @Star Market No. 3577,BOSTON CITY PROPERTIES II,59
60,Aguasvivas Market,MONTEIRO MARIA TS,60
61,Air France Lounge,,61
62,Akiki,GIBBS OIL COMPANY LIMITED,62
63,AL CAPONE,EIGHTY MONT SUMMER LLC,63
64,AL DENTE RISTORANTE,KEHAYIAS CHERYL TS,64
65,Al Prime Energy,,65
66,Aladdin @ Bunker Hill Comm. College,,66
67,ALBA PRODUCE,MOGAVERA ROSARIO,67
68,Alcove,  ,68
69,Alex Market VI,,69
70,ALEX PIZZA,,70
71,Alexander's Wine & Spirit,WALGREEN EASTERN CO.  INC,71
72,ALEX'S CHIMIS,ALEJANDRO E. CASTILLO ALEX'S CHIMIS,72
73,Alex's Market III  Inc.,SEMEDO BERNARDINO M,73
74,Alfa Auto Fuel,MANTAS GEORGE TS,74
75,ALFREDO'S,PILIKA ALFRED,75
76,ALFREDO'S ITALIAN KITCHEN,,76
77,ALI ROTI RESTAURANT,ARCH DEVELOPMENT LIMITED PAR,77
78,Alibi,,78
79,Alipio's Market,CASTANO DIANA S,79
80,All Star Pizza Bar,RAMIN DOORANDISH  PRESIDE NT,80
81,Allandale Farm,LAWRENCE JAMES 3RD      ETAL,81
82,ALLIS ROTI + MEAT MARKET,ALI,82
83,Allston Convenience Store,POLYZOS PETROS S TS,83
84,Allston Diner,SHERMAN LEONARD S TS,84
85,Allston Market,ANGOORI  INC.,85
86,Almany Market,ARCH DEVELOPMENT LP,86
87,Aloft Seaport Hotel -Banquet Kitchen,,87
88,Aloft Seaport Hotel -Re Fuel Bar,,88
89,Aloft Seaport Hotel -WXYZ Bar,,89
90,Al's South St. Express,,90
91,AL'S STATE ST. CAFE,,91
92,Alta Strada Pizza Pronto,,92
93,Alumni 1,  ,93
94,Alumni 2,  ,94
95,Alumni 3,  ,95
96,Alumni 4,  ,96
97,Alumni 5,  ,97
98,Al-Wadi Restaurant,WHITE PARKWAY RLTY INC,98
99,Amateras,,99
100,AMC South Bay 12 (Concession),,100
101,AMC South Bay 12 (MacGuffins),,101
102,AMC Theatres Boston Common 19,NEW COMMONWEALTH COMMERCIAL,102
103,Amelia's Taqueria,LAMBRIANIDIS SOPHIA,103
104,Amelia's Taqueria III,D'ANTISTA DIANE & SALVATORE,104
105,American Airlines Club Boston,,105
106,American Food Basket,CVS #1049  LIC. DEPT  T.,106
107,American Nut & Chocolate,BEAUPRE DAVID TS,107
108,American Vinegar Works,,108
109,Americano Espresso Bar,TRAMONTE YOLANDA M TRSTS,109
110,Americas Food Basket,CIFRINO PAUL J          ETAL,110
111,AMERICA'S FOOD BASKET,,111
112,America's Test Kitchen,  ,112
113,America's Test Kitchen Truck,,113
114,Ames Hotel Boston,,114
115,AMIGOS LOCOS,,115
116,Amigos Locos American Cantina,,116
117,Amorino,TWO-49 NEWBURY STREET LLC,117
118,AMRHEIN'S,MULREY JOSEPH,118
119,AN TAIN,THIRTY-5 INDIA STREET LLC,119
120,ANCHOVIES RESTAURANT,TALIERI,120
121,Ancient & Honorable Artillery Company,,121
122,Andre's Cafe,  ,122
123,ANDREW SQUARE HOUSE OF PIZZA,MANIAS NICHOLAS,123
124,Angela's Cafe,PELOSI UGO,124
125,Angela's Cafe II,  ,125
126,Angel's Market,  ,126
