LiquorEstKey,EstablishmentKey,COMMENTS,CLOSING,PATRONSOUT,CAPACITY
1,7070,The Board granted the petition to provide Bottle Service on the licensed premises.,2:00 AM,2:30 AM,354
2,7071,Trash pickup must be between the hours of 7:00 A.M. &  11:00 P.M. Noise levels to be monitored.,1:00 AM,1:30 AM,115
3,7072,CLOSING HOUR: 1.) MIDNIGHT: FRIDAY AND SATURDAY  2.) 11:00 P.M.: SUNDAY - THURSDAY,11:00 PM,11:30 PM,40
4,7073,NEIGHBORHOOD AGREEMENT TO BE INCORPORATED BY REFERENCE.,2:00 AM,2:30 AM,110
5,7074,NONE,1:00 AM,1:30 AM,46
6,7075,NONE,2:00 AM,2:30 AM,42
7,7076,NONE,2:00 AM,2:30 AM,153
8,7077,NONE,2:00 AM,NULL,0
9,7078,NONE,11:00 p.m.,11:30 p.m.,24
10,7079,1.) MALT  WINE AND LIQUEURS TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. 2.) NO BAR  PATIO CONDITIONS:  1.) 10PM CLOSING HOUR  2.) PATIO MUST BE STAFFED AT ALL TIMES.  3.) ALCOHOL SERVICE WITH FOOD ONLY.,1:00 AM,1:30 AM,42
11,7080,NONE,2:00 AM,2:30 AM,206
12,7081,A.) ALCOHOL TO BE SERVED ONLY WITH FOOD.  B.) PATIO TO BE STAFFED AT ALL TIMES.,1:00 AM,1:30 AM,99
13,7082,ALCOHOLIC BEVERAGES TO BE SERVED WITH BRUNCH ON SUNDAYS BEGINNING AT 11:00 AM.  CAPACITY BREAKDOWN: 1ST FL - 133 SEATED  107 STANDING; LOWER LEVEL - 38 SEATED  12 STANDING; SEASONAL PATIO - 18.,2:00 AM,2:30 AM,290
14,7083,1.) ALCOHOL TO BE SERVED ONLY TO PATRONS DINING IN THE PREMISES.  2.) NO ALCOHOL TO BE SERVED TO PATRONS WAITING FOR TAKE-OUT.  3.) WAIT SERVICE TO BE PROVIDED AT TABLES  4.) NO BAR,9:00 PM,9:30 PM,26
15,7084,(1)NO BAR. (2) ALCOHOLIC BEVERAGES TO BE SERVEDWITH FOOD ONLY.,1:00 AM,1:30 AM,60
16,7085,,2:00 AM,2:30 AM,390
17,7086,,2:00 AM,2:30 AM,96
18,7087,,2:00 AM,2:30 AM,253
19,7088,PATIO CONDITIONS: 1.) MIDNIGHT CLOSING HOUR 2.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. 3.) MUST BE STAFFED AT ALL TIMES.,1:00 AM,1:30 AM,140
20,7089,1.) ALCOHOL SERVICE ONLY WITH FOOD IN DINING AREA. 2.) 8 SEAT BAR AREA TO HAVE NO MORE THAN 12 PEOPLE AROUND IT AT ONE TIME. 3.) PUBLIC NOT TO BE ADMITTED TO BAR AREA AFTER 11:30 PM AND SERVICE OF ALCOHOL TO CEASE AT 12:30 AM. 4.) ALL OPEN CONTAINERS OF ALCOHOL MUST BE REMOVED FROM BAR AREA BY 1:00 AM 5.) ROOFDECK MUST BE CLOSED FOR ALL PURPOSES AT 10:00 PM 6.) ANYTIME FOOD AND/OR ALCOHOL SERVED ON DECK  DECK MUST BE STAFFED. A.) 11:00 A.M. OPENING ON SUNDAYS FOR THE SERVICE OF ALCOHOLIC BEVERAGES WITH BRUNCH.,1:00 AM,1:30 AM,0
21,7090,The board granted permission to provide bottle service.,2:00 AM,2:30 AM,335
22,7091,1. NO BAR 2. ALCOHOL TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.,MIDNIGHT,12:30 AM,56
23,7092,NONE,1:00 AM,1:30 AM,74
24,7093,NONE,2:00 AM,2:30 AM,0
25,7094,123 Persons total.  1st Floor 58 Persons Seated.  25 Persons Standing. 2nd floor 40 Persons seated.,1:00 AM,1:30 AM,123
26,7095,NONE,2:00 AM,2:30 AM,301
27,7096,NONE,1:00 AM,1:30 AM,92
28,7097,1. No bar on premises 2. 1:00 A.M. closing for wines and malt  3. 4:00 A.M. closing for foods service,1:00 AM,1:30 AM,48
29,7098,,2:00 AM,2:30 AM,360
30,7099,NONE,1:00 AM,1:30 AM,360
31,7100,THE BOARD GRANTED THE PETITION FOR PERMISSION TO PROVIDE BOTTLE SERVICE ON THE LICENSED PREMISES.,2:00 AM,2:30 AM,120
32,7101,THE BOARDPERMITS BOTTLE SERVICE.,2:00 AM,2:30 AM,460
33,7102,NONE,1:00 AM,1:30 AM,103
34,7103,.,2:00 AM,2:30 AM,200
35,7104,NONE,1:00 AM,1:30 AM,38
36,7105,NONE,1:00 AM,1:30 AM,30
37,7106,NONE,1:00 AM,1:30 AM,72
38,7107,NONE,Midnight,12:30 AM,40
39,7108,NONE,1:00 AM,1:30 AM,48
40,7109,9 AM OPENING ON ALCOHOL SERVICE. TO COMMENCE ON SUNDAY AT 11:00 AM.,1:00 AM,1:30 AM,28
41,7110,1.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS OR TO PATRONS WHILE WAITING FOR A TABLE.,1:00 AM,1:30 AM,58
42,7111,,2:00 AM,2:30 AM,114
43,7112,NONE,1:00 AM,1:30 AM,44
44,7113,(1) NO ALCOHOL SERVICE AFTER 12:30 A.M.  THE RESTAURANT AND BAR SHALL CEASE ALL OPERATIONS NO LATER THAN 1:00 A.M. (2) FROM AND AFTER 12:00 A.M. ALL INGRESS AND EGRESS TO THE RESTAURANT AND BAR PREMISES SHALL BE THROUGH THE ATRIUM OR OTHER INTERIOR PASSAGE OF 10 ST. JAMES STREET AND THERE SHALL BE NO INGRESS OR EGRESS DIRECTLY TO OR FROM ARLINGTON OR STUART STREETS AND THE RESTAURANT PREMISES.(3)LOBBY AREA CONDITIONS: (a) TO BE USED ONLY FOR FUNCTIONS; (b)USED WEEKDAYS ONLY AFTER 6PM; (c) MAY BE USED WITHIN LICENSE PARAMETERS DURING THE WEEKEND BUTFOR FUNCTIONS ONLY.,2:00 AM,2:30 AM,234
45,7114,(1) MALT AND WINE TO BE SERVED WITH MEALS ONLY. (2) NO BAR.,1:00 AM,1:30 AM,60
46,7115,MONDAY THROUGH THURSDAY - 11:00 P.M. CLOSING HOUR  FRIDAY  SATURDAY AND SUNDAY - MIDNIGHT CLOSING HOUR,11:00 PM,11:30 PM,625
47,7116,1. Trash Picked up 3 times a week. 2. Discount Parking. 3. Alcohol shall be served only in conjunction with food ordered from the menu at all table seats  booths  & patio seats. Food will be available at the (14) bar stools and (12) high top seats. 4. Patio service shall end no later than Midnight.,2:00 AM,2:30 AM,264
48,7117,ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH BRUNCH ON SUNDAYS FROM: 11AM TO NOON.,1:00 AM,1:30 AM,226
49,7118,(1) MALT AND WINE BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. (2) NO BAR. (3) PATIO TO CLOSE AT 10:00 PM. (4)TRASH TO BE COMPACTED AND STORED INSIDE AND PUT OUT NO MORE THAN ONE HOUR BEFORE COLLECTION IN RODENT-PROOF CONTAINERS. (5)DELIVERIES TO OCCUR BETWEEN 7:00 A.M. AND 11:00 P.M. AND NOT BETWEEN THE HOURS OF 8:00 A.M. AND 10:00 A.M. NOR BETWEEN THE HOURS OF 4:00 P.M. AND 6:00 P.M. (6) ALL SIGNAGE AND EXTERIOR CHANGES TO COMPLY WITH ZONING REQUIREMENTS AND TO BE APPROVED BY THE BACK BAY ARCHITECTURAL COMMISSION.,11:00 PM,11:30 PM,19
50,7119,2 Valet Parking if exceeds 40,2:00 AM,2:30 AM,349
51,7120,na,2:00 AM,2:30 AM,65
52,7121,NONE,2:00 AM,2:30 AM,264
53,7122,1.) CLOSING HOUR: 1:00 AM FRIDAY - SATURDAY - AND HOLIDAYS MIDNIGHT ON OTHER DAYS.  2.) NO BAR  3.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS AT TABLES.  4.) ALCOHOL SERVICE WITHOUT FOOD ALLOWED FOR WAITING PATRONS.,12:00 AM,12:30 AM,92
54,7123,1.) SUNDAY OPENING AT 11:00 A.M. FOR THE SERVICE OF ALCOHOL.,2:00 AM,2:30 AM,704
55,7124,,1:00 AM,1:30 AM,68
