WeatherKey,DATE,High Temp (F),Avg Temp (F),Low Temp (F),High Humidity (%),Avg Humidity (%),Low Humidity (%),High Wind (mph),Avg Wind (mph),High Wind Gust (mph),Snowfall (in),Precip (in),Events
1,2008-01-01,40,34,28,92,79,66,23,10,36,0.18,0.18,Both
2,2008-01-02,33,22,10,82,66,49,28,15,38,0,0,Snow
3,2008-01-03,14,11,7,60,50,40,25,17,32,0,0,None
4,2008-01-04,32,20,8,63,50,36,23,12,28,0,0,None
5,2008-01-05,42,35,27,64,47,30,16,9,23,0,0,None
6,2008-01-06,47,42,36,82,69,55,15,7,20,0,0,None
7,2008-01-07,55,45,35,92,77,61,18,7,22,0,0,None
8,2008-01-08,67,56,45,86,69,52,18,12,23,0,0,None
9,2008-01-09,62,54,46,90,57,24,29,18,37,0,0,Rain
10,2008-01-10,49,44,38,70,52,34,16,11,22,0,0,None
11,2008-01-11,57,48,38,100,85,70,23,7,30,0,1.41,Rain
12,2008-01-12,48,43,38,89,68,46,17,9,20,0,0,None
13,2008-01-13,44,37,30,76,63,49,23,11,26,0,0,None
14,2008-01-14,39,34,28,100,82,64,26,15,33,0.55,0.55,Both
15,2008-01-15,35,30,24,88,76,63,15,8,0,0,0,None
16,2008-01-16,34,29,23,68,53,38,20,13,26,0,0,None
17,2008-01-17,35,28,21,75,63,50,10,6,13,0,0,None
18,2008-01-18,47,40,33,100,72,44,23,12,32,0.38,0.38,Both
19,2008-01-19,35,33,30,47,43,38,13,10,20,0,0,None
20,2008-01-20,34,27,19,49,40,31,25,15,33,0,0,None
21,2008-01-21,25,20,15,53,44,35,21,14,28,0,0,None
22,2008-01-22,40,30,20,92,67,41,29,13,38,0,0.03,Rain
23,2008-01-23,37,33,29,82,57,32,20,11,25,0,0,None
24,2008-01-24,32,27,22,55,47,38,16,9,22,0,0,None
25,2008-01-25,31,24,16,61,46,31,24,13,31,0,0,None
26,2008-01-26,33,29,24,60,50,39,14,8,18,0,0,None
27,2008-01-27,34,29,24,85,72,58,33,17,40,0.1,0,Snow
28,2008-01-28,41,32,23,65,50,34,24,16,33,0,0,None
29,2008-01-29,40,34,27,82,63,43,17,7,22,0,0,None
