FoodEstabKey,EstablishmentKey,businessname
1,1,100 Percent Delicia Food
2,2,100 Percent Delicias Express
3,3,1000 Degrees Pizza
4,4,110 Grill
5,5,111 East
6,6,125 Nashua St. Cafe (MGH)
7,7,129 Lake Street Cafe
8,8,149 Eat Street
9,9,163 Vietnamese Sandwich
10,10,20TH CENTRY BOWLING LANES
11,11,21 ST. AMENDMENT
12,12,224 BOSTON
13,13,2Twenty2
14,14,320 Cafe
15,15,4 Brothers Market
16,16,49 Social
17,17,73 Cafe
18,18,75 CHESTNUT
19,19,75 On Liberty Wharf
20,20,753 South
21,21,89 Broad Street/Fin Point
22,22,99 RESTAURANT AND PUB
23,23,A & B Burgers
24,24,A & N PIZZA
25,25,A C Farm Market
26,26,A Goodmart
27,27,A K's Take Out & Delivery
28,28,A.C Hotel by Marriott
29,29,A-1 Convenience
30,30,A7 Food Store
31,31,Abbott's Frozen Custard
32,32,Abby Lane
33,33,ABIGAIL'S TEA ROOM @CONGRESS BRIDGE
34,34,Abreu Market
35,35,Abyssinia Market
36,36,AC Hotel by Marriot
37,37,AC Hotel by Marriott
38,38,Academy Market
39,39,Acapulco Mexican Restaurant
40,40,Accents
41,41,Aceituna
42,42,Aceituna Grill
43,43,Achilitos Taqueria
44,44,Across The Border
45,45,Adams B & B
46,46,ADAMS CONVENIENCE STORE
47,47,Adams Fish Mkt
48,48,Addis Red Sea
49,49,AFC Sushi @ Shaw's 3588
50,50,AFC Sushi @ Shaws 4587
51,51,AFC Sushi @ Shaws No. 1208
52,52,AFC Sushi @ Shaws No. 3696
53,53,AFC Sushi @ Shaw's S upermarket No. 0602
54,54,AFC SUSHI @ STARMARKET 4572
55,55,AFC Sushi @ Walgreens No. 15390
56,56,AFC Sushi @Liberty Mutual Ins.
57,57,AFC SUSHI @SIMMONS COLLEGE
58,58,AFC Sushi @Star Market No. 2576
59,59,AFC Sushi @Star Market No. 3577
60,60,Aguasvivas Market
61,61,Air France Lounge
62,62,Akiki
63,63,AL CAPONE
64,64,AL DENTE RISTORANTE
65,65,Al Prime Energy
66,66,Aladdin @ Bunker Hill Comm. College
67,67,ALBA PRODUCE
68,68,Alcove
69,69,Alex Market VI
70,70,ALEX PIZZA
71,71,Alexander's Wine & Spirit
72,72,ALEX'S CHIMIS
73,73,Alex's Market III  Inc.
74,74,Alfa Auto Fuel
75,75,ALFREDO'S
76,76,ALFREDO'S ITALIAN KITCHEN
77,77,ALI ROTI RESTAURANT
78,78,Alibi
79,79,Alipio's Market
80,80,All Star Pizza Bar
81,81,Allandale Farm
82,82,ALLIS ROTI + MEAT MARKET
83,83,Allston Convenience Store
84,84,Allston Diner
85,85,Allston Market
86,86,Almany Market
87,87,Aloft Seaport Hotel -Banquet Kitchen
88,88,Aloft Seaport Hotel -Re Fuel Bar
89,89,Aloft Seaport Hotel -WXYZ Bar
90,90,Al's South St. Express
91,91,AL'S STATE ST. CAFE
92,92,Alta Strada Pizza Pronto
93,93,Alumni 1
