FoodLicID,LicenseFK,licenseno
1,1,87059
2,2,351943
3,3,313440
4,4,381384
5,5,383209
6,6,130844
7,7,74211
8,8,28288
9,9,27609
10,10,18671
11,11,19863
12,12,370784
13,13,349074
14,14,344670
15,15,381991
16,16,75153
17,17,68356
18,18,20638
19,19,79483
20,20,332241
21,21,200737
22,22,19530
23,23,369170
24,24,23626
25,25,74325
26,26,384003
27,27,28531
28,28,175211
29,29,28193
30,30,374193
31,31,74489
32,32,79241
33,33,78077
34,34,174408
35,35,134743
36,36,170294
37,37,174731
38,38,31731
39,39,19029
40,40,23222
41,41,364284
42,42,175311
43,43,354463
44,44,369756
45,45,21988
46,46,139414
47,47,18021
48,48,18526
49,49,378993
50,50,21947
51,51,364776
52,52,409751
53,53,22629
54,54,21946
55,55,90461
56,56,374652
57,57,73444
58,58,21900
59,59,354839
60,60,98124
61,61,138976
62,62,30648
63,63,22813
64,64,19660
65,65,80573
66,66,368706
67,67,21026
68,68,346419
69,69,201333
70,70,24310
71,71,22887
72,72,20931
73,73,77881
74,74,23542
75,75,22825
76,76,23175
77,77,20778
78,78,77887
79,79,159570
80,80,308806
81,81,18032
82,82,18944
83,83,27591
84,84,78169
85,85,23604
86,86,158675
87,87,163485
88,88,163488
89,89,163490
90,90,28744
91,91,22368
92,92,391968
93,93,68154
94,94,68156
95,95,68158
96,96,68160
97,97,68162
98,98,68660
99,99,140294
100,100,308175
101,101,308182
102,102,21804
103,103,137353
104,104,333294
105,105,358169
106,106,24624
107,107,32379
108,108,402297
109,109,24849
110,110,91514
111,111,74772
112,112,352925
113,113,366600
114,114,202121
115,115,318350
116,116,358368
117,117,129539
118,118,18844
119,119,21024
120,120,24617
121,121,25433
122,122,140634
123,123,377074
124,124,27539
125,125,166852
126,126,74821
127,127,198000
128,128,18298
129,129,135886
130,130,338302
131,131,301129
132,132,391546
133,133,31241
134,134,67866
135,135,19977
136,136,20296
137,137,86624
138,138,146011
139,139,134056
140,140,19837
141,141,141625
142,142,160564
143,143,20803
144,144,22391
145,145,77254
146,146,19907
147,147,167983
148,148,136868
149,149,26001
150,150,29252
151,151,155639
152,152,19399
153,153,86940
154,154,22153
155,155,25883
156,156,23991
157,157,382837
158,158,22056
159,159,112706
160,160,353239
161,161,342621
162,162,345414
163,163,80836
164,164,33490
165,165,24028
166,166,75240
167,167,23925
168,168,18720
169,169,24583
170,170,19013
171,171,18982
172,172,18984
173,173,127471
174,174,22647
175,175,76936
176,176,394251
177,177,90919
178,178,32649
179,179,158024
180,180,37229
181,181,22783
182,182,34653
183,183,303620
184,184,67792
185,185,21931
186,186,77074
