LicenseID,licenseno,issdttm,expdttm,licstatus,licensecat
1,87059,2013-04-05,2019-12-31,Active,FS
2,351943,2018-11-26,2019-12-31,Active,FT
3,313440,2017-08-14,2019-12-31,Active,FS
4,381384,2019-07-18,2019-12-31,Active,FS
5,383209,2019-07-03,2019-12-31,Active,FS
6,130844,2015-08-13,2019-12-31,Active,FS
7,74211,2013-10-24,2019-12-31,Active,FS
8,28288,2012-02-27,2019-12-31,Active,FS
9,27609,2011-12-15,2019-12-31,Active,FS
10,18671,2012-01-25,2019-12-31,Active,FT
11,19863,2012-02-13,2019-12-31,Active,FS
12,370784,2018-08-07,2019-12-31,Active,FS
13,349074,2017-10-31,2019-12-31,Active,FS
14,344670,2017-09-21,2019-12-31,Active,FS
15,381991,2018-12-21,2019-12-31,Active,RF
16,75153,2011-12-17,2019-12-31,Active,FS
17,68356,2012-02-27,2019-12-31,Active,FS
18,20638,2012-01-24,2019-12-31,Active,FS
19,79483,2012-10-24,2019-12-31,Active,FS
20,332241,2017-05-01,2019-12-31,Active,FS
21,200737,2016-08-17,2019-12-31,Active,FS
22,19530,2012-01-09,2019-12-31,Active,FS
23,369170,2019-02-20,2019-12-31,Active,FS
24,23626,2012-02-14,2019-12-31,Active,FT
25,74325,2012-01-05,2019-12-31,Active,RF
26,384003,2019-03-11,2019-12-31,Active,RF
27,28531,2011-12-20,2019-12-31,Active,FT
28,175211,2018-05-11,2019-12-31,Active,RF
29,28193,2012-01-06,2019-12-31,Active,RF
30,374193,2018-10-17,2019-12-31,Active,RF
31,74489,2011-12-22,2019-12-31,Active,FT
32,79241,2012-11-19,2019-12-31,Active,FS
33,78077,2012-07-05,2019-12-31,Active,FS
34,174408,2016-06-09,2019-12-31,Active,RF
35,134743,2015-03-16,2019-12-31,Active,RF
36,170294,2018-02-23,2019-12-31,Active,RF
37,174731,2018-05-11,2019-12-31,Active,FS
38,31731,2011-12-12,2019-12-31,Active,RF
39,19029,2011-12-23,2019-12-31,Active,FS
40,23222,2012-01-12,2019-12-31,Active,RF
41,364284,2018-12-06,2019-12-31,Active,FS
42,175311,2017-02-08,2019-12-31,Active,FS
43,354463,2018-10-02,2019-12-31,Active,FS
44,369756,2018-08-20,2019-12-31,Active,MFW
45,21988,2011-12-30,2019-12-31,Active,FS
46,139414,2015-01-21,2019-12-31,Active,RF
47,18021,2011-12-23,2019-12-31,Active,RF
48,18526,2011-12-15,2019-12-31,Active,FS
