FoodLicID,COMMENTS,LOCATIONCOMMENTS,LicenseFK,LicenseID
1,The Board granted the petition to provide Bottle Service on the licensed premises.,Two (2) entrances on High Street; rear exit for emergency and stock  in one (1) room (2 bars) with kitchen and two (2) stock rooms on first floor  three (3) function rooms and two (2) lounges in basement. Street Level-167 Persons Seated; 53-Persons Standing; Lower Level Dining Scene-109-Persons Tabl,7070,LB-99101
2,Trash pickup must be between the hours of 7:00 A.M. &  11:00 P.M. Noise levels to be monitored.,One room and service counter on the first floor  one room on the second floor; basement for storage.  Capacity breakdown: 1st fl - 50; 2nd fl - 65.,7071,LB-99204
3,CLOSING HOUR: 1.) MIDNIGHT: FRIDAY AND SATURDAY  2.) 11:00 P.M.: SUNDAY - THURSDAY,IN ONE ROOM ON FIRST FLOOR; KITCHEN IN THE REAR  STORAGE  PREP AREA IN BASEMENT; WITH THE OFFICE ON THE SECOND FLOOR.,7072,LB-99762
4,NEIGHBORHOOD AGREEMENT TO BE INCORPORATED BY REFERENCE.,111 Dartmouth St.; First Floor consisting of on room with four seating areas and bar  kitchen and storage in the rear; storage and prep area in the basement.,7073,LB-99389
5,NONE,IN ONE ROOM AND KITCHEN ON THE FIRST FLOOR  ONE ROOM AND STORAGE IN THE BASEMENT.,7074,LB-99737
6,NONE,ON FIRST FLOOR; DINING AREA +/-687SF WITH SEATING FOR 42 PERSONS  KITCHEN IN REAR.  BASEMENT FOR STORAGE.  MAIN ENTRANCE/EXIT ON BROOKLINE AVE.,7075,LB-99669
7,NONE,Three rooms on first floor with two kitchens  storage on first floor  exit to Berkeley Street and Three exits to Lobby also to include an outside seasonal patio for sixteen (16) persons between the hours of 11:00 A.M. - 11:30 P.M.  Capacity breakdown: 143 seated  10 standing.,7076,LB-99346
8,NONE,IN WHOLE OF SAID  BUILDING. (SEE ISD CERTIFICATE FOR MORE COMPLETE DESCRIPTION OF CAPACITY.) MANAGEMENT AGREEMENT APPROVED BY BLB AND ABCC BETWEEN 15 BEACON STREET LLC AND BOVINE LLC.,7077,LB-101651
9,NONE,In 2 rooms on the first floor. Kitchen in the rear with storage in the kitchen and sub-basement with 2 exits. 1 in the front and 1 in the rear. Also to include an outdoor seasonal patio on private property for 28 patrons between the hours of 7:00 a.m. - 11:00 p.m.  24 Interior & 28 Exterior.,7078,LB-138053
10,1.) MALT  WINE AND LIQUEURS TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. 2.) NO BAR  PATIO CONDITIONS:  1.) 10PM CLOSING HOUR  2.) PATIO MUST BE STAFFED AT ALL TIMES.  3.) ALCOHOL SERVICE WITH FOOD ONLY.,IN ONE ROOM  KITCHEN AND STORAGE ON FIRST FLOOR  ENTRANCE ON TREMONT STREET  WITH EMERGENCY EXIT IN THE REAR AND TO INCLUDE A SEASONAL OUTDOOR PATIO OFF REAR OF PREMISES FOR 24 PATRONS FROM MAY THROUGH OCTOBER BETWEEN THE HOURS OF 9:00 A.M. - 10:00 P.M.,7079,LB-99763
11,NONE,170 MILK STREET ENTRANCE - FIRST FLOOR 2 ROOMS  BASEMENT FOR COOKING  STORAGE  STOCK WITH ADDITIONAL BAR AREA AND SEATING FOR DINING.  OUTSIDE SEASONAL PATIO ON PRIVATE LAND WITH 30 SEATS BETWEEN THE HOURS OF 11:00 A.M. - 1:00 A.M.  (CAPACITY BREAKDOWN: 206 PERSONS AS FOLLOWS: STREET LEVEL - 14-PERS,7080,LB-99227
12,A.) ALCOHOL TO BE SERVED ONLY WITH FOOD.  B.) PATIO TO BE STAFFED AT ALL TIMES.,IN ONE ROOM ON THE FIRST FLOOR; KITCHEN IN THE REAR  STORAGE IN THE BASEMENT AND TO INCLUDE AN OUTDOOR SEASONAL PATIO FROM APRIL THROUGH OCTOBER FOR 16 PATRONS BETWEEN THE HOURS OF 10:00 A.M. - 11:00 P.M.,7081,LB-99141
