Id,Year,Month,State,Illnesses
1,1998,January,California,20
2,1998,January,California,112
3,1998,January,California,35
4,1998,January,California,4
5,1998,January,California,26
6,1998,January,California,25
7,1998,January,California,8
8,1998,January,California,4
9,1998,January,Colorado,21
10,1998,January,Colorado,3
11,1998,January,Colorado,8
12,1998,January,Colorado,28
13,1998,January,Colorado,10
14,1998,January,Florida,2
15,1998,January,Florida,3
16,1998,January,Florida,3
17,1998,January,Florida,2
18,1998,January,Florida,2
19,1998,January,Florida,2
20,1998,January,Florida,2
21,1998,January,Florida,3
22,1998,January,Florida,3
23,1998,January,Florida,5
24,1998,January,Florida,3
25,1998,January,Florida,5
26,1998,January,Florida,2
27,1998,January,Florida,2
28,1998,January,Florida,2
29,1998,January,Florida,18
30,1998,January,Florida,2
31,1998,January,Florida,2
32,1998,January,Florida,3
33,1998,January,Guam,2
34,1998,January,Guam,47
35,1998,January,Hawaii,3
36,1998,January,Hawaii,2
37,1998,January,Hawaii,2
38,1998,January,Illinois,4
39,1998,January,Illinois,11
40,1998,January,Illinois,4
41,1998,January,Indiana,25
42,1998,January,Maryland,3
43,1998,January,Maryland,3
44,1998,January,Maryland,4
45,1998,January,Maryland,21
46,1998,January,Maryland,3
47,1998,January,Maryland,2
48,1998,January,Maryland,2
49,1998,January,Maryland,3
50,1998,January,Maryland,8
51,1998,January,Maryland,5
52,1998,January,Maryland,4
53,1998,January,Maryland,4
54,1998,January,Massachusetts,79
55,1998,January,Massachusetts,115
56,1998,January,Michigan,2
57,1998,January,Michigan,6
58,1998,January,Michigan,5
59,1998,January,Michigan,2
60,1998,January,Michigan,133
61,1998,January,Michigan,47
62,1998,January,Michigan,4
63,1998,January,Michigan,5
64,1998,January,Michigan,2
65,1998,January,Michigan,3
66,1998,January,Michigan,19
67,1998,January,Michigan,3
68,1998,January,Minnesota,19
69,1998,January,Minnesota,16
70,1998,January,Multistate,4
71,1998,January,"New York",3
72,1998,January,"New York",2
73,1998,January,"New York",26
74,1998,January,"North Carolina",8
75,1998,January,Ohio,2
76,1998,January,Ohio,3
77,1998,January,Ohio,2
78,1998,January,Ohio,2
79,1998,January,Ohio,4
80,1998,January,Oregon,2
81,1998,January,Oregon,8
82,1998,January,Pennsylvania,23
83,1998,January,Pennsylvania,0
84,1998,January,Pennsylvania,16
85,1998,January,Pennsylvania,17
86,1998,January,Texas,218
87,1998,January,Virginia,13
88,1998,January,Washington,3
89,1998,January,Washington,3
90,1998,January,Wisconsin,34
91,1998,February,California,10
92,1998,February,Colorado,11
93,1998,February,Colorado,10
94,1998,February,Colorado,6
95,1998,February,Connecticut,10
96,1998,February,Connecticut,38
97,1998,February,Florida,39
98,1998,February,Florida,3
99,1998,February,Florida,8
100,1998,February,Florida,3
101,1998,February,Florida,6
102,1998,February,Florida,2
103,1998,February,Florida,4
104,1998,February,Florida,35
105,1998,February,Florida,18
106,1998,February,Florida,2
107,1998,February,Florida,8
108,1998,February,Florida,0
109,1998,February,Florida,5
110,1998,February,Florida,2
111,1998,February,Florida,4
112,1998,February,Florida,2
113,1998,February,Florida,50
114,1998,February,Florida,2
115,1998,February,Florida,43
116,1998,February,Florida,15
117,1998,February,Florida,4
118,1998,February,Florida,3
119,1998,February,Florida,3
120,1998,February,Illinois,33
121,1998,February,Indiana,101
122,1998,February,Indiana,9
123,1998,February,Maryland,8
124,1998,February,Maryland,3
125,1998,February,Maryland,6
126,1998,February,Maryland,2
127,1998,February,Maryland,2
128,1998,February,Maryland,17
129,1998,February,Michigan,3
130,1998,February,Michigan,5
131,1998,February,Michigan,5
132,1998,February,Michigan,4
133,1998,February,Michigan,8
134,1998,February,Michigan,20
135,1998,February,Michigan,4
136,1998,February,Michigan,0
137,1998,February,Minnesota,0
138,1998,February,Minnesota,0
139,1998,February,Mississippi,12
140,1998,February,Nebraska,45
141,1998,February,"New Hampshire",16
142,1998,February,"New Jersey",10
143,1998,February,"New York",8
144,1998,February,"New York",23
145,1998,February,"New York",17
146,1998,February,"New York",17
147,1998,February,"New York",18
148,1998,February,"New York",9
149,1998,February,"North Carolina",9
150,1998,February,"North Carolina",9
151,1998,February,Ohio,2
152,1998,February,Ohio,3
153,1998,February,Ohio,4
154,1998,February,Ohio,25
155,1998,February,Ohio,2
156,1998,February,Ohio,2
157,1998,February,Ohio,3
158,1998,February,Ohio,4
159,1998,February,Ohio,4
160,1998,February,Ohio,3
161,1998,February,Ohio,2
162,1998,February,Oregon,4
163,1998,February,Oregon,29
164,1998,February,Oregon,38
165,1998,February,Oregon,15
166,1998,February,Pennsylvania,20
167,1998,February,Pennsylvania,11
168,1998,February,Pennsylvania,20
169,1998,February,Pennsylvania,6
170,1998,February,Pennsylvania,15
171,1998,February,Texas,2
172,1998,February,Texas,5
173,1998,February,Texas,22
174,1998,February,Texas,94
175,1998,February,Washington,4
176,1998,February,Washington,2
177,1998,February,Washington,3
178,1998,March,Alabama,3
179,1998,March,Alabama,2
180,1998,March,Arkansas,4
181,1998,March,California,26
182,1998,March,California,5
183,1998,March,California,4
184,1998,March,California,7
185,1998,March,California,6
186,1998,March,California,48
187,1998,March,California,6
188,1998,March,Colorado,23
189,1998,March,Florida,14
190,1998,March,Florida,11
191,1998,March,Florida,2
192,1998,March,Florida,2
193,1998,March,Florida,3
194,1998,March,Florida,2
195,1998,March,Florida,2
196,1998,March,Florida,2
197,1998,March,Florida,3
198,1998,March,Florida,2
199,1998,March,Florida,2
200,1998,March,Florida,24
201,1998,March,Florida,2
202,1998,March,Florida,3
203,1998,March,Florida,2
204,1998,March,Florida,4
205,1998,March,Florida,2
206,1998,March,Florida,3
207,1998,March,Florida,2
208,1998,March,Florida,2
209,1998,March,Florida,2
210,1998,March,Florida,4
