WeatherKey,WeatherDate,TempHighInF,TempAverageInF,TempLowInF,HumidityHighPercentage,HumidityAveragePercentage,HumidityLowPercentage,WindHighInMpf,WindAverageInMpf,WindGustHighInMpf,SnowFallInInches,PrecipitationInInches,Month
92,2008-04-01,64,58,52,84,78,72,32,23,44,0,0.17,April
93,2008-04-02,55,46,36,61,40,18,32,20,41,0,0,April
94,2008-04-03,53,43,33,44,31,17,21,13,28,0,0,April
95,2008-04-04,44,41,37,100,74,48,24,9,30,0,0.73,April
96,2008-04-05,54,47,39,96,75,54,16,6,21,0,0.06,April
97,2008-04-06,42,41,39,100,85,70,23,16,29,0,0.01,April
98,2008-04-07,43,40,36,85,76,67,24,15,30,0,0,April
99,2008-04-08,45,39,33,89,77,65,17,9,21,0,0,April
100,2008-04-09,53,43,33,96,69,41,17,8,25,0,0,April
101,2008-04-10,72,60,47,93,56,18,25,12,31,0,0,April
102,2008-04-11,53,49,44,71,56,41,16,6,21,0,0.02,April
103,2008-04-12,61,53,44,93,87,80,15,9,25,0,0.45,April
104,2008-04-13,49,44,38,93,65,37,21,10,25,0,0.01,April
105,2008-04-14,55,46,36,59,44,28,20,10,28,0,0,April
106,2008-04-15,53,45,37,53,40,27,18,10,21,0,0,April
107,2008-04-16,58,48,37,70,51,32,20,8,0,0,0,April
108,2008-04-17,56,48,40,73,52,30,14,7,0,0,0,April
109,2008-04-18,68,56,43,49,34,18,12,6,0,0,0,April
110,2008-04-19,57,52,46,86,64,41,15,8,0,0,0,April
111,2008-04-20,55,50,45,89,78,66,24,12,30,0,0,April
112,2008-04-21,52,48,44,93,84,74,13,7,18,0,0,April
113,2008-04-22,67,56,44,93,65,37,16,7,0,0,0,April
114,2008-04-23,84,67,50,77,48,19,14,9,22,0,0,April
115,2008-04-24,74,64,53,56,34,12,22,14,35,0,0,April
116,2008-04-25,62,56,49,68,49,29,20,10,0,0,0,April
117,2008-04-26,53,49,44,83,64,44,16,10,0,0,0,April
118,2008-04-27,51,49,46,83,77,71,12,7,0,0,0,April
